Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Registrar Horas de Trabajo,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Campo personalizado (Casos de prueba),Campo personalizado (Criterios de aceptacion),Campo personalizado (Issue color),Campo personalizado (Rank),Sprint,Campo personalizado (Start date),Campo personalizado (Team),Campo personalizado (Tipo),Campo personalizado (development),Comentario,Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
[FRONTEND] Crear componente SearchClientsInput (client component),DUMI-216,11297,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Carlos Alonso Díaz Uceda,712020:c7bec43b-2b9d-4bf8-b9a1-40b1314cdadf,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:16 PM,04/dic/25 1:33 AM,,,,0,"Implementar {{modules/clients/ui/components/search-clients-form.tsx}} como 'use client':

* Tres inputs de búsqueda en una fila horizontal:
** Nombres (placeholder ""Buscar por nombres..."")
** Apellidos (placeholder ""Buscar por apellidos..."")
** Teléfono (placeholder ""Buscar por teléfono..."")
* Implementar debounce de 300ms para cada input
* Al cambiar cualquier input, actualizar la URL con query params ?names=...&lastnames=...&phone=...
* Solo incluir en la URL los parámetros que tengan valor
* Usar useRouter con router.replace para actualizar la URL sin agregar al historial
* Leer valores iniciales desde searchParams para mantener estado en URL
* Botón de limpiar filtros visible cuando hay algún filtro activo",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,,,,0|i000z3:,Tablero Sprint 1,,,Desarrollo,{},,Por hacer,03/dic/25 2:16 PM,10520,DUMI-87,Búsqueda de clientes
[FRONTEND] Modificar página de clientes para soportar búsqueda,DUMI-217,11299,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Carlos Alonso Díaz Uceda,712020:c7bec43b-2b9d-4bf8-b9a1-40b1314cdadf,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:16 PM,04/dic/25 1:33 AM,,,,0,"Actualizar page.tsx:

* Recibir searchParams como prop del Server Component
* Extraer parámetros names, {{lastnames}}, phone de searchParams
* Si existe algún parámetro, llamar a searchClients({ names, lastnames, phone })
* Si no existe ninguno, llamar a getClients() para obtener todos
* Renderizar {{SearchClientsForm}} arriba de la tabla
* Pasar los clientes filtrados y un flag {{hasFilters}} a ClientsTable",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,,,,0|i000zb:,Tablero Sprint 1,,,Desarrollo,{},,Por hacer,03/dic/25 2:16 PM,10520,DUMI-87,Búsqueda de clientes
[FRONTEND] Actualizar ClientsTable para mostrar estado vacío contextual,DUMI-218,11301,Subtarea,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Carlos Alonso Díaz Uceda,712020:c7bec43b-2b9d-4bf8-b9a1-40b1314cdadf,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:16 PM,04/dic/25 1:33 AM,,,,0,"Modificar clients-table.tsx:

* Recibir nueva prop opcional {{hasFilters?: boolean}}
* Cuando clients.length === 0:
** Si {{hasFilters}} es true: mostrar ""No se encontraron clientes con los filtros aplicados""
** Si {{hasFilters}} es false: mostrar ""No hay clientes registrados"" (comportamiento actual)
* Agregar icono de búsqueda (SearchX) en el estado vacío cuando es por filtros",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,,,,0|i000zj:,Tablero Sprint 1,,,Desarrollo,{},,Por hacer,03/dic/25 2:16 PM,10520,DUMI-87,Búsqueda de clientes
[FRONTEND] Definir tipos para el módulo de prendas,DUMI-219,11335,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Carlos Alonso Díaz Uceda,712020:c7bec43b-2b9d-4bf8-b9a1-40b1314cdadf,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:45 PM,04/dic/25 12:04 PM,,04/dic/25 12:04 PM,30/sep/25 12:00 AM,0,"Crear {{modules/clothes/types.ts}}:

* Definir tipo {{Gender}} con valores: {{'HOMBRE' | 'MUJER' | 'UNISEX'}}
* Definir tipo {{Size}} con valores: {{'2' | '4' | '6' | '8' | '10' | '12' | '14' | 'XS' | 'S' | 'M' | 'L' | 'XL' | 'XXL'}}
* Definir interface {{ClothesVariant}} con: id, {{gender}}, size, {{additional}} (precio adicional)
* Definir interface {{ClothesImage}} con: {{url}}, {{filename}}
* Definir interface {{Clothes}} con: id, {{name}}, {{description}}, {{price}}, {{isDraft}}, {{variants}}, {{images}}, createdAt, {{updatedAt}}
* Definir interface {{CreateClothesResponse}} para la respuesta del API con {{uploadUrls}} para las imágenes",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 12:04 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;5400,5400,0,5400,100 %,5400,0,5400,,,,,0|i000zr:,Tablero Sprint 1,30/sep/25 12:00 AM,,Desarrollo,{},,Listo,04/dic/25 12:04 PM,10521,DUMI-88,Registro de prenda
[FRONTEND] Definir constantes para el módulo de prendas,DUMI-220,11337,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Carlos Alonso Díaz Uceda,712020:c7bec43b-2b9d-4bf8-b9a1-40b1314cdadf,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:45 PM,04/dic/25 12:21 PM,,04/dic/25 12:21 PM,30/sep/25 12:00 AM,0,"Crear {{modules/clothes/constants.ts}}:

* Exportar array {{GENDERS}} con opciones: [{ value: 'HOMBRE', label: 'Masculino' }, { value: 'MUJER', label: 'Femenino' }, { value: 'UNISEX', label: 'Unisex' }]
* Exportar array {{SIZES}} con opciones de tallas disponibles (2-14 para niños, XS-XXL para adultos)
* Exportar objeto {{CLOTHES_ERRORS}} con mensajes de error:
** {{DUPLICATE_VARIANT}}: 'Ya existe una variante con esta combinación de talla y género'
** {{INVALID_PRICE}}: 'El precio debe ser un número positivo'
** {{NO_VARIANTS}}: 'Debe agregar al menos una variante'
** {{NO_IMAGES}}: 'Debe agregar al menos una imagen'
** {{UNKNOWN}}: 'Ocurrió un error inesperado'",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 12:21 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;5400,5400,0,5400,100 %,5400,0,5400,,,,,0|i000zz:,Tablero Sprint 1,30/sep/25 12:00 AM,,Desarrollo,{},,Listo,04/dic/25 12:21 PM,10521,DUMI-88,Registro de prenda
[FRONTEND] Definir schema de validación con Zod para crear prenda,DUMI-221,11339,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:45 PM,04/dic/25 12:22 PM,,04/dic/25 12:22 PM,30/sep/25 12:00 AM,0,"Crear {{modules/clothes/schemas.ts}}:

* Crear schema {{variantSchema}} que valide:
** {{gender}}: enum con valores HOMBRE, MUJER, UNISEX
** size: string, requerido
** {{additional}}: número, mínimo 0 (precio adicional)
* Crear schema {{imageSchema}} que valide:
** {{file}}: instancia de File
** {{filename}}: string
** {{contentType}}: string (image/png, image/jpeg, etc.)
* Crear schema {{createClothesSchema}} que valide:
** {{name}}: string, mínimo 2 caracteres
** {{description}}: string, mínimo 2 caracteres
** {{price}}: número, positivo, mínimo 0.01
** {{variants}}: array de {{variantSchema}}, mínimo 1 elemento
** {{images}}: array de {{imageSchema}}, mínimo 1 elemento
* Agregar validación personalizada {{.refine()}} para verificar que no haya variantes duplicadas (misma combinación talla/género)
* Exportar tipo inferido {{CreateClothesInput}}",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 12:22 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;7200,7200,0,7200,100 %,7200,0,7200,,,,,0|i00107:,Tablero Sprint 1,30/sep/25 12:00 AM,,Validación,{},,Listo,04/dic/25 12:22 PM,10521,DUMI-88,Registro de prenda
[FRONTEND] Crear Server Action para registrar prenda,DUMI-222,11341,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:46 PM,04/dic/25 12:24 PM,,04/dic/25 12:24 PM,30/sep/25 12:00 AM,0,"Crear {{modules/clothes/actions/create-clothes.ts}}:

* Recibir {{formData}} con los datos de la prenda
* Parsear y validar datos con {{createClothesSchema}}
* Si validación falla, retornar {{{ success: false, error: mensaje }}}
* Verificar duplicados de variantes antes de enviar al backend
* Hacer POST a {{/clothes}} con body: {{{ name, description, price, variants, images: [{ filename, contentType }] }}}
* Manejar respuesta 409 (prenda duplicada o variante duplicada)
* La respuesta incluye {{uploadUrls}} para subir las imágenes a S3
* Subir cada imagen a su {{uploadUrl}} correspondiente usando PUT
* Ejecutar {{revalidatePath('/admin/clothes')}}
* Retornar {{ActionResponse}} con success/error",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 12:23 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;7200,7200,0,7200,100 %,7200,0,7200,,,,,0|i0010f:,Tablero Sprint 1,30/sep/25 12:00 AM,,Integración,{},,Listo,04/dic/25 12:24 PM,10521,DUMI-88,Registro de prenda
[FRONTEND] Crear queries para obtener prendas,DUMI-223,11343,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:46 PM,04/dic/25 12:27 PM,,04/dic/25 12:27 PM,30/sep/25 12:00 AM,0,"Crear queries.ts:

* Función {{getClothes()}}: GET a {{/clothes}}, retorna {{Clothes[]}}
* Función getClothesById(id): GET a /clothes/:id, retorna {{Clothes | null}}",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 12:27 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;3600,3600,0,3600,100 %,3600,0,3600,,,,,0|i0010n:,Tablero Sprint 1,30/sep/25 12:00 AM,,Integración,{},,Listo,04/dic/25 12:27 PM,10521,DUMI-88,Registro de prenda
[FRONTEND] Crear componente VariantsFieldArray para gestionar variantes,DUMI-224,11345,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:46 PM,04/dic/25 12:34 PM,,04/dic/25 12:34 PM,01/oct/25 12:00 AM,0,"Crear variants-field-array.tsx como {{'use client'}}:

* Usar {{useFieldArray}} de react-hook-form para manejar array dinámico de variantes
* Mostrar cards con: Talla, Género, Precio Adicional, Precio Total
* Select para talla usando las opciones de {{SIZES}}
* Select para género usando las opciones de {{GENDERS}}
* Input numérico para precio adicional (mínimo 0)
* Mostrar precio total por variante (precio base + adicional)
* Botón para agregar nueva variante
* Botón para eliminar variante existente (aparece al hover)
* Validar en tiempo real que no se duplique combinación talla/género (mediante schema Zod con {{superRefine}})",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 12:34 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;5400,5400,0,5400,100 %,5400,0,5400,,,,,0|i0010v:,Tablero Sprint 1,01/oct/25 12:00 AM,,Desarrollo,{},,Listo,04/dic/25 12:34 PM,10521,DUMI-88,Registro de prenda
[FRONTEND] Crear componente ImagesUpload para gestionar imágenes,DUMI-225,11347,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:46 PM,04/dic/25 12:36 PM,,04/dic/25 12:36 PM,01/oct/25 12:00 AM,0,"Crear images-upload.tsx como {{'use client'}}:

* Zona de drag & drop para subir imágenes con estado visual de arrastre
* Input file con {{accept=""image/png,image/jpeg,image/webp""}} y {{multiple}}
* Preview de imágenes seleccionadas con thumbnails en grid
* Imagen principal destacada (ocupa 2 columnas, badge ""Principal"")
* Botón para eliminar imagen de la lista (aparece en overlay al hover)
* Botón para establecer imagen como principal
* Validar tipos de archivo permitidos (png, jpg, webp) usando constante {{ACCEPTED_IMAGE_TYPES}}
* Limitar tamaño máximo por imagen (5MB) usando constante {{MAX_IMAGE_SIZE}}
* Mostrar contador de imágenes subidas
* Usar {{useFieldArray}} para sincronizar con el formulario",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 12:36 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;7200,7200,0,7200,100 %,7200,0,7200,,,,,0|i00113:,Tablero Sprint 1,01/oct/25 12:00 AM,,Desarrollo,{},,Listo,04/dic/25 12:36 PM,10521,DUMI-88,Registro de prenda
[FRONTEND] Crear página de listado de prendas,DUMI-226,11349,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Carlos Alonso Díaz Uceda,712020:c7bec43b-2b9d-4bf8-b9a1-40b1314cdadf,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:46 PM,04/dic/25 12:37 PM,,04/dic/25 12:37 PM,01/oct/25 12:00 AM,0,"Crear page.tsx:

* Server Component que obtiene las prendas con {{getClothes()}}
* Título ""Prendas"" con descripción ""Gestiona el catálogo de prendas""
* Botón ""Nueva prenda"" que navega a {{/admin/clothes/new}}
* Renderizar {{ClothesTable}} con las prendas",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 12:36 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;5400,5400,0,5400,100 %,5400,0,5400,,,,,0|i0011b:,Tablero Sprint 1,01/oct/25 12:00 AM,,Desarrollo,{},,Listo,04/dic/25 12:37 PM,10521,DUMI-88,Registro de prenda
[FRONTEND] Crear componente ClothesTable para listar prendas,DUMI-227,11351,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:46 PM,04/dic/25 12:37 PM,,04/dic/25 12:37 PM,01/oct/25 12:00 AM,0,"Crear {{modules/clothes/ui/components/clothes-table.tsx}}:

* Recibir prop {{clothes: Clothes[]}}
* Tabla con columnas: Imagen (thumbnail), Nombre, Precio Base, Variantes, Estado (Draft/Publicado), Acciones
* Estado vacío: ""No hay prendas registradas""
* DropdownMenu con acciones: Ver, Editar, Eliminar
* Mostrar badge de cantidad de variantes
* Mostrar primera imagen como thumbnail o placeholder si no hay",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 12:37 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;7200,7200,0,7200,100 %,7200,0,7200,,,,,0|i0011j:,Tablero Sprint 1,01/oct/25 12:00 AM,,Desarrollo,{},,Listo,04/dic/25 12:37 PM,10521,DUMI-88,Registro de prenda
[FRONTEND] Crear página de creación de prenda,DUMI-228,11353,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:46 PM,04/dic/25 12:50 PM,,04/dic/25 12:50 PM,01/oct/25 12:00 AM,0,"Crear page.tsx:

* Server Component con título ""Nueva prenda""
* Breadcrumb: Prendas > Nueva prenda
* Renderizar {{CreateClothesForm}}",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 12:50 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;1800,1800,0,1800,100 %,1800,0,1800,,,,,0|i0011r:,Tablero Sprint 1,01/oct/25 12:00 AM,,Desarrollo,{},,Listo,04/dic/25 12:50 PM,10521,DUMI-88,Registro de prenda
[FRONTEND] Crear componente CreateClothesForm (client component),DUMI-229,11355,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Carlos Alonso Díaz Uceda,712020:c7bec43b-2b9d-4bf8-b9a1-40b1314cdadf,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:46 PM,04/dic/25 12:56 PM,,04/dic/25 12:53 PM,02/oct/25 12:00 AM,0,"Implementar {{modules/clothes/ui/components/create-clothes-form.tsx}} como 'use client':

* Formulario con campos:
** Nombre (Input, requerido)
** Descripción (Textarea, requerido)
** Precio Base (Input type number, requerido, min 0.01)
* Sección ""Variantes"" con {{VariantsFieldArray}}
* Sección ""Imágenes"" con {{ImagesUpload}}
* Usar react-hook-form con zodResolver y {{createClothesSchema}}
* Botón ""Cancelar"" que navega a {{/admin/clothes}}
* Botón ""Guardar prenda"" que ejecuta server action
* Mostrar estado de carga durante el submit
* Toast de éxito/error con sonner
* Redireccionar a {{/admin/clothes}} al guardar exitosamente",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 12:56 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;7200,7200,0,7200,100 %,7200,0,7200,,,,,0|i0011z:,Tablero Sprint 1,02/oct/25 12:00 AM,,Desarrollo,{},,Listo,04/dic/25 12:53 PM,10521,DUMI-88,Registro de prenda
[FRONTEND] Agregar enlace de Prendas al sidebar,DUMI-230,11357,Subtarea,Finalizada,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,Listo,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 2:46 PM,04/dic/25 12:57 PM,,04/dic/25 12:57 PM,02/oct/25 12:00 AM,0,"Modificar app-sidebar.tsx:

* Agregar nuevo item en el grupo ""Gestión"" para admin:
** Título: ""Prendas""
** Href: {{/admin/clothes}}
** Icono: {{Shirt}} de lucide-react",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 12:56 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;1800,1800,0,1800,100 %,1800,0,1800,,,,,0|i00127:,Tablero Sprint 1,02/oct/25 12:00 AM,,Desarrollo,{},,Listo,04/dic/25 12:57 PM,10521,DUMI-88,Registro de prenda
[FRONTEND] Crear schema de validación para edición de prenda,DUMI-231,11391,Subtarea,En curso,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Carlos Alonso Díaz Uceda,712020:c7bec43b-2b9d-4bf8-b9a1-40b1314cdadf,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 4:52 PM,04/dic/25 1:17 PM,,,02/oct/25 12:00 AM,0,"Agregar en schemas.ts:

* Schema {{updateClothesSchema}} con campos opcionales: {{name}}, {{description}}, {{price}}, {{isDraft}}
* Schema {{updateVariantSchema}} con campo {{additional}} para precio adicional
* Schema {{deleteImageSchema}} con campo {{url}} de la imagen a eliminar
* Inferir tipos {{UpdateClothesInput}}, {{UpdateVariantInput}}, {{DeleteImageInput}}",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 1:01 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;1800,1800,0,1800,100 %,1800,0,1800,,,,,0|i0012f:,Tablero Sprint 1,02/oct/25 12:00 AM,,Validación,{},,En curso,04/dic/25 1:17 PM,10522,DUMI-89,Modificación de prenda
[FRONTEND] Crear server actions para modificación de prenda,DUMI-232,11393,Subtarea,En curso,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Carlos Alonso Díaz Uceda,712020:c7bec43b-2b9d-4bf8-b9a1-40b1314cdadf,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 4:52 PM,04/dic/25 1:17 PM,,,02/oct/25 12:00 AM,0,"Crear {{modules/clothes/actions/update-clothes.ts}}:

* Action {{updateClothes(id: string, data: UpdateClothesInput)}} que hace PATCH a {{/clothes/:id}}
* Revalidar path {{/admin/clothes}} y {{/admin/clothes/:id}}

Crear {{modules/clothes/actions/update-variant.ts}}:

* Action {{updateVariant(clothesId: string, variantId: string, data: UpdateVariantInput)}} que hace PATCH a {{/clothes/:id/variants/:variantId}}
* Revalidar paths correspondientes

Crear {{modules/clothes/actions/delete-variant.ts}}:

* Action {{deleteVariant(clothesId: string, variantId: string)}} que hace DELETE a {{/clothes/:id/variants/:variantId}}
* Revalidar paths correspondientes

Crear {{modules/clothes/actions/delete-image.ts}}:

* Action {{deleteImage(clothesId: string, url: string)}} que hace DELETE a {{/clothes/:id/images}} con body {{{ url }}}
* Revalidar paths correspondientes",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 1:03 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;2400,2400,0,2400,100 %,2400,0,2400,,,,,0|i0012n:,Tablero Sprint 1,02/oct/25 12:00 AM,,Integración,{},,En curso,04/dic/25 1:17 PM,10522,DUMI-89,Modificación de prenda
[FRONTEND] Crear query para obtener prenda por ID,DUMI-233,11395,Subtarea,En curso,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 4:52 PM,04/dic/25 1:17 PM,,,02/oct/25 12:00 AM,0,"Agregar en queries.ts:

* Function {{getClothesById(id: string)}} que hace GET a {{/clothes/:id}}
* Retornar datos tipados como {{Clothes}}",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 1:07 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;1200,1200,0,1200,100 %,1200,0,1200,,,,,0|i0012v:,Tablero Sprint 1,02/oct/25 12:00 AM,,Integración,{},,En curso,04/dic/25 1:17 PM,10522,DUMI-89,Modificación de prenda
[FRONTEND] Crear componente EditClothesForm,DUMI-234,11397,Subtarea,En curso,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,03/dic/25 4:52 PM,04/dic/25 1:17 PM,,,02/oct/25 12:00 AM,0,"Crear {{modules/clothes/ui/components/edit-clothes-form.tsx}} como {{'use client'}}:

* Recibir prop {{clothes: Clothes}} con los datos actuales
* Reutilizar layout de 2 columnas similar a {{CreateClothesForm}}
* Campos editables: nombre, descripción, precio base
* Toggle para {{isDraft}} (activar/desactivar prenda)
* Botón guardar cambios que llama a {{updateClothes}}
* Mostrar toast de éxito/error",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,;04/dic/25 1:09 PM;ug:14a1becf-b4f8-4db1-be5e-3b8dd417387b;1800,1800,0,1800,100 %,1800,0,1800,,,,,0|i00133:,Tablero Sprint 1,02/oct/25 12:00 AM,,Desarrollo,{},,En curso,04/dic/25 1:17 PM,10522,DUMI-89,Modificación de prenda
